rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
classic_bike,member,Wednesday,January,30 to 60,8,38
classic_bike,casual,Sunday,January,10 to 30,10,32
classic_bike,casual,Sunday,January,10 to 30,16,36
classic_bike,casual,Monday,January,10 to 30,18,27
classic_bike,casual,Sunday,January,Under 10,13,65
electric_bike,casual,Sunday,January,Under 10,13,62
classic_bike,casual,Saturday,January,Over 60,14,8
classic_bike,member,Saturday,January,30 to 60,13,18
classic_bike,member,Saturday,January,Under 10,6,45
classic_bike,member,Tuesday,January,Under 10,12,363
classic_bike,casual,Thursday,January,Under 10,17,117
classic_bike,casual,Thursday,January,10 to 30,17,65
classic_bike,member,Wednesday,January,Over 60,9,12
classic_bike,casual,Thursday,January,10 to 30,7,23
classic_bike,member,Sunday,January,10 to 30,10,92
classic_bike,member,Saturday,January,10 to 30,20,43
classic_bike,member,Monday,January,10 to 30,11,132
classic_bike,member,Saturday,January,Under 10,0,34
electric_bike,member,Tuesday,January,Under 10,9,264
classic_bike,casual,Sunday,January,Under 10,22,28
electric_bike,casual,Thursday,January,Under 10,19,84
classic_bike,member,Thursday,January,30 to 60,14,36
classic_bike,member,Wednesday,January,30 to 60,14,37
classic_bike,member,Friday,January,30 to 60,12,27
classic_bike,member,Monday,January,30 to 60,21,7
classic_bike,casual,Saturday,January,10 to 30,16,33
electric_bike,casual,Friday,January,10 to 30,17,44
classic_bike,casual,Friday,January,10 to 30,22,13
classic_bike,member,Sunday,January,30 to 60,16,30
electric_bike,member,Friday,January,10 to 30,14,122
electric_bike,member,Wednesday,January,Under 10,20,273
